name,map_pid,map_revision,description,format,framerate,height,asset_type,mime_type,bitrate,video_bitrate,video_bitrate_mode,codec,video_mode,width,audio_bitrate,audio_codec,audio_mode,map_link
ts_mpeg2_hd,p00l9kgz,2,Created for WFE. 1.8Mbps HD asset intended for Virgin Streaming,MPEG2-TS,25,1080,audio_video,video/mpeg,18256,18000,CBR,MPEG-2,1080i,1920,96,MPEG Layer II,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00l9kgz/media_profile_groups/
wm_wmv_hi,p00l9khj,3,Created for WFE. 1300kbps asset intended for WMV Download and BT Vision,WMV,25,404,audio_video,video/wmv,1378,1250,CBR,wmv9,SD,720,192,WMA V9,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00l9khj/media_profile_groups/
wm_wmv_lo,p00l9khk,3,Created for WFE. 900kbps  asset intended fo WMV download.  Previously known as 'Sideloading' but not based on Mobile rights and not used exclusively for mobile devices.,WMV,25,180,audio_video,video/wmv,628,500,CBR,wmv9,SD,320,256,WMA V9,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00l9khk/media_profile_groups/
xml_ttml,p00m2t9g,3,Created for WFE. Timed-text Subtitles,Timed-text Subtitles,-,-,captions,application/ttaf+xml,-,-,-,-,-,-,-,-,None,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00m2t9g/media_profile_groups/
txt_seachange_sd,p00m2tbm,2,Created for WFE. Virgin standard definition programme metadata,Virgin Seachange,-,-,captions,text/plain,-,-,-,-,-,-,-,-,None,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00m2tbm/media_profile_groups/
txt_seachange_hd,p00m2tcy,2,Created for WFE. Virgin high definition programme metadata,Virgin Seachange,-,-,captions,text/plain,-,-,-,-,-,-,-,-,None,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00m2tcy/media_profile_groups/
3gp_mpeg4_lo,p00m2tf5,3,Created for WFE. 100kbps asset intended for mobile streaming. Launched on the N95. Previously known as '3G',3GPP release 6,25,96,audio_video,video/mp4,102,70,CBR,h264,SD,176,32,AAC (ADTS),Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00m2tf5/media_profile_groups/
h264_aac,p00m8fkk,3,Created for MPS. Web rendition.,MPEG4 part 14,-,-,audio,audio/mp4,32,-,-,-,-,-,32,aac-lc,Mono,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00m8fkk/media_profile_groups/
webcast_p1,p00mb195,3,Created for Live Media. Live Event Streaming Profile 1.,Baseline,5,126,audio_video,video/mp4,60,32,CBR,h264,SD,224,28,AAC-LC,Mono,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00mb195/media_profile_groups/
webcast_p2,p00mb196,3,Created for Live Media. Live Event Streaming Profile 2.,Baseline L3,15,216,audio_video,video/mp4,176,128,CBR,h264,SD,384,48,AAC-LC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00mb196/media_profile_groups/
